Date,Revenue,COGS,Gross Profit,Selling & Promotion Expenses,Administrative Expenses,Research & Development Expenses,Net Income,% COGS,% Gross Profit,% Selling & Promotion Expenses,% Administrative Expenses,% Research & Development Expenses,% Net Income
2006/12/31,1.276,1.105,0.171,0.0303,0.2265,,2.151,0.87,0.13,0.02,0.18,0.00,1.69
2007/12/31,1.317,1.164,0.153,0.03055,0.4539,,3.058,0.88,0.12,0.02,0.34,0.00,2.32
2008/12/31,42.89,36.38,6.51,2.198,2.825,,8.661,0.85,0.15,0.05,0.07,0.00,0.20
2009/12/31,140.7,115.3,25.4,7.646,5.168,,13.19,0.82,0.18,0.05,0.04,0.00,0.09
2010/12/31,201,163.8,37.2,11.9,9.229,,15.5,0.81,0.19,0.06,0.05,0.00,0.08
2011/12/31,209.6,171.4,38.2,13.59,9.63,,17.16,0.82,0.18,0.06,0.05,0.00,0.08
2012/12/31,246.3,200.7,45.6,14.83,13.19,,20.5,0.81,0.19,0.06,0.05,0.00,0.08
2013/12/31,287.1,229.4,57.7,17.05,16.82,,26.8,0.80,0.20,0.06,0.06,0.00,0.09
2014/12/31,217.4,177.8,39.6,12.5,17.72,,14.49,0.82,0.18,0.06,0.08,0.00,0.07
2015/12/31,301.4,246.7,54.7,15.68,21.76,,22.89,0.82,0.18,0.05,0.07,0.00,0.08
2016/12/31,537.2,438.8,98.4,25.03,25.6,,51.7,0.82,0.18,0.05,0.05,0.00,0.10
2017/12/31,927.6,747.8,179.8,40.56,29.23,,107.4,0.81,0.19,0.04,0.03,0.00,0.12
2018/12/31,1066,850.8,215.2,45.23,37.77,,126.7,0.80,0.20,0.04,0.04,0.00,0.12
2019/12/31,974,804.8,169.2,43.32,50.84,,82.61,0.83,0.17,0.04,0.05,0.00,0.08
2020/12/31,921.1,773.8,147.3,50.53,57.45,,55.75,0.84,0.16,0.05,0.06,0.00,0.06
2021/12/31,1016,842,174,63.23,79.08,,43.53,0.83,0.17,0.06,0.08,0.00,0.04
