Date,Revenue,COGS,Gross Profit,Selling & Promotion Expenses,Administrative Expenses,Research & Development Expenses,Net Income,% COGS,% Gross Profit,% Selling & Promotion Expenses,% Administrative Expenses,% Research & Development Expenses,% Net Income
2009/12/31,26.31,18.35,7.966,7.966,1.069,,4.488,0.70,0.30,0.30,0.04,0.00,0.17
2010/12/31,41.62,30.52,11.11,11.11,1.279,,6.75,0.73,0.27,0.27,0.03,0.00,0.16
2011/12/31,40.08,26.39,13.69,13.69,2.167,,14.62,0.66,0.34,0.34,0.05,0.00,0.36
2012/12/31,81.44,62.18,19.26,19.26,2.852,,20.21,0.76,0.24,0.24,0.04,0.00,0.25
2013/12/31,119.1,88.41,30.69,30.69,5.136,,20.41,0.74,0.26,0.26,0.04,0.00,0.17
2014/12/31,161.8,119.9,41.87,3.194,5.294,,20,0.74,0.26,0.02,0.03,0.00,0.12
2015/12/31,182.3,140.9,41.44,3.709,6.074,,24.71,0.77,0.23,0.02,0.03,0.00,0.14
2016/12/31,222.2,165.8,56.46,5.245,8.789,,31.64,0.75,0.25,0.02,0.04,0.00,0.14
2017/12/31,318.2,232,86.21,6.095,12.68,,61.49,0.73,0.27,0.02,0.04,0.00,0.19
2018/12/31,423.7,317.5,106.1,11.53,21.22,,71.18,0.75,0.25,0.03,0.05,0.00,0.17
2019/12/31,564.5,423.3,141.2,15.8,31.48,,92.42,0.75,0.25,0.03,0.06,0.00,0.16
2020/12/31,718,561.9,156.1,20.67,29.46,,119,0.78,0.22,0.03,0.04,0.00,0.17
2021/12/31,1078,870.4,208,23.67,37.67,,123.3,0.81,0.19,0.02,0.03,0.00,0.11
